Party,Year,Variables,Values,locality,division
déi Lénk,2018,GALLI Alessandra (10),2816,Centre,Electoral district
déi Lénk,2018,SIMON Claude (16),2710,Centre,Electoral district
déi Lénk,2018,CORREIA José Luís (6),2694,Centre,Electoral district
déi Lénk,2018,CARRILHO Beatriz (5),2690,Centre,Electoral district
déi Lénk,2018,FABER Jean-Paul (8),2684,Centre,Electoral district
déi Lénk,2018,THILLMANY Josée (19),2640,Centre,Electoral district
déi Lénk,2018,SCHILTZ Claude (14),2621,Centre,Electoral district
déi Lénk,2018,THEIS Marc (18),2586,Centre,Electoral district
déi Lénk,2018,SCHOSSELER Jeanne (15),2498,Centre,Electoral district
déi Lénk,2018,TESSARO Isabella (17),2391,Centre,Electoral district
déi Lénk,2018,WEIER Sebastian (21),2346,Centre,Electoral district
déi Lénk,2018,VALVASON DETTO SARODINE Concetta (20),2335,Centre,Electoral district
déi Lénk,2018,PAULUS Jean (12),2306,Centre,Electoral district
déi Lénk,2018,RIES Joseph René dit Jeff (13),2262,Centre,Electoral district
déi Lénk,2018,Suffrages total,66253,Centre,Electoral district
déi Lénk,2018,Suffrages de liste,43701,Centre,Electoral district
déi Lénk,2018,Suffrages nominatifs,22552,Centre,Electoral district
déi Lénk,2018,Nombre de mandats attribués,1,Centre,Electoral district
PIRATEN,2018,Pourcentage,0.0766746182375372,Nord,Electoral district
PIRATEN,2018,COLOMBERA Jean (2),5074,Nord,Electoral district
PIRATEN,2018,ALLARD Ben (1),4225,Nord,Electoral district
PIRATEN,2018,MAAR Andy (3),2764,Nord,Electoral district
PIRATEN,2018,GINTER Joshua (8),2536,Nord,Electoral district
PIRATEN,2018,DASBACH Angelika (4),2473,Nord,Electoral district
PIRATEN,2018,GRÜNEISEN Sam (6),2408,Nord,Electoral district
PIRATEN,2018,BAUMANN Roy (5),2387,Nord,Electoral district
PIRATEN,2018,CONRAD Pierre (7),2280,Nord,Electoral district
PIRATEN,2018,TRAUT ép. MOLITOR Angela Maria (9),2274,Nord,Electoral district
PIRATEN,2018,Suffrages total,26421,Nord,Electoral district
PIRATEN,2018,Suffrages de liste,17865,Nord,Electoral district
PIRATEN,2018,Suffrages nominatifs,8556,Nord,Electoral district
PIRATEN,2018,Nombre de mandats attribués,0,Nord,Electoral district
déi gréng,2018,Pourcentage,0.129802139378849,Nord,Electoral district
déi gréng,2018,TURMES Claude (1),11243,Nord,Electoral district
déi gréng,2018,EMPAIN Stéphanie (2),5692,Nord,Electoral district
déi gréng,2018,ANZIA Gérard (3),4844,Nord,Electoral district
déi gréng,2018,THILLEN Frank (8),4151,Nord,Electoral district
déi gréng,2018,DUPREZ Tanja (7),4118,Nord,Electoral district
déi gréng,2018,BIRCHEN Svenja (5),3842,Nord,Electoral district
déi gréng,2018,ASCHMAN Betsy (4),3780,Nord,Electoral district
déi gréng,2018,WILMES Dan (9),3645,Nord,Electoral district
déi gréng,2018,DELTGEN Giny (6),3413,Nord,Electoral district
déi gréng,2018,Suffrages total,44728,Nord,Electoral district
déi gréng,2018,Suffrages de liste,23985,Nord,Electoral district
déi gréng,2018,Suffrages nominatifs,20743,Nord,Electoral district
déi gréng,2018,Nombre de mandats attribués,1,Nord,Electoral district
LSAP,2018,Pourcentage,0.158688977497635,Nord,Electoral district
LSAP,2018,SCHNEIDER Romain (1),12331,Nord,Electoral district
LSAP,2018,HAAGEN Claude (2),7721,Nord,Electoral district
LSAP,2018,WEBER Carlo (9),6253,Nord,Electoral district
LSAP,2018,VESALI Amir (8),5527,Nord,Electoral district
LSAP,2018,STEICHEN Bob (6),5324,Nord,Electoral district
LSAP,2018,STEFFEN Christian (5),4844,Nord,Electoral district
LSAP,2018,THILL Claude (7),4514,Nord,Electoral district
LSAP,2018,KOCH Tina (3),4229,Nord,Electoral district
LSAP,2018,PICARD Myriam (4),3939,Nord,Electoral district
LSAP,2018,Suffrages total,54682,Nord,Electoral district
LSAP,2018,Suffrages de liste,25524,Nord,Electoral district
LSAP,2018,Suffrages nominatifs,29158,Nord,Electoral district
LSAP,2018,Nombre de mandats attribués,1,Nord,Electoral district
CSV,2018,Pourcentage,0.322320117474303,Nord,Electoral district
CSV,2018,HANSEN Martine (1),20249,Nord,Electoral district
CSV,2018,SCHANK Marco (8),14096,Nord,Electoral district
