NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
95;2019;2;48;9;6;3;11;2;2;N;N;3;1;;;N;;;;;;;4;04;9;04;4;2;;;1;335.1592
96;2019;2;20;9;6;1;10;1;3;N;N;4;1;1;2;N;;;;;;;1;02;1;08;4;2;1;40;2;145.4188
96;2019;2;20;9;1;1;03;1;1;S;N;4;2;;;N;;;;;;;;;;;;;;;3;158.68
96;2019;2;20;9;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;167.9883
96;2019;2;20;9;1;1;05;1;2;S;N;4;2;;;N;;;;;;;4;07;5;04;4;2;;;3;158.68
96;2019;2;20;9;1;1;10;1;1;N;S;4;1;1;2;N;;;;;;;1;02;3;02;4;2;1;40;1;164.0198
97;2019;2;20;9;6;1;05;1;2;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;134.2949
97;2019;2;20;9;1;1;11;1;1;N;N;4;3;1;2;N;;;;;;;1;02;3;04;4;2;1;40;1;143.5232
97;2019;2;20;9;6;1;04;1;2;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;134.2949
97;2019;2;20;9;6;1;11;1;2;N;N;4;1;1;2;N;;;;;;;1;02;3;09;4;1;1;36;2;121.7482
98;2019;2;20;3;6;1;12;1;1;N;N;4;1;1;4;N;;;;;;;1;02;5;09;4;1;1;28;2;114.568
98;2019;2;20;3;1;2;12;1;1;N;N;4;1;1;4;N;;;;;;;1;02;6;01;2;;;32;1;121.7919
99;2019;2;48;1;1;2;16;1;1;N;N;2;2;;;N;;;;;;;4;07;7;02;4;2;;;2;280.3651
